# baryon_variants_terms_claude.txt : generated by baryon_variants_terms_gen_claude.py
#
# C_{AA'} = sum_terms w * det[ G[rows, cols] ],
# G = 16x16 PD spin-colour site propagator
#
# indices = four [ spin (\alpha) + color (a) ],
# written as \alpha : a
#
# w includes P(A')
#
# header per pair:  pair <A> <A'> <P(A')> <#terms>
# term line:        <w> <rows of the 4x4 minor of G> | <columns of the minor>
#
# generated with --pairs sector (sector: equal parity and J_3 mod 4; block: only the pairs the ops file needs; parity: all same-parity pairs)
npairs 157
#
pair 0000 0000 1 1
576 0:0 0:1 0:2 0:3 | 0:0 0:1 0:2 0:3
#
pair 0000 0022 1 6
96 0:0 0:1 0:2 0:3 | 0:0 0:1 2:2 2:3
-96 0:0 0:1 0:2 0:3 | 0:0 0:2 2:1 2:3
96 0:0 0:1 0:2 0:3 | 0:0 0:3 2:1 2:2
96 0:0 0:1 0:2 0:3 | 0:1 0:2 2:0 2:3
-96 0:0 0:1 0:2 0:3 | 0:1 0:3 2:0 2:2
96 0:0 0:1 0:2 0:3 | 0:2 0:3 2:0 2:1
#
pair 0000 1111 1 1
576 0:0 0:1 0:2 0:3 | 1:0 1:1 1:2 1:3
#
pair 0000 1133 1 6
96 0:0 0:1 0:2 0:3 | 1:0 1:1 3:2 3:3
-96 0:0 0:1 0:2 0:3 | 1:0 1:2 3:1 3:3
96 0:0 0:1 0:2 0:3 | 1:0 1:3 3:1 3:2
96 0:0 0:1 0:2 0:3 | 1:1 1:2 3:0 3:3
-96 0:0 0:1 0:2 0:3 | 1:1 1:3 3:0 3:2
96 0:0 0:1 0:2 0:3 | 1:2 1:3 3:0 3:1
#
pair 0000 2222 1 1
576 0:0 0:1 0:2 0:3 | 2:0 2:1 2:2 2:3
#
pair 0000 3333 1 1
576 0:0 0:1 0:2 0:3 | 3:0 3:1 3:2 3:3
#
pair 0001 0001 1 16
36 0:0 0:1 0:2 1:3 | 0:0 0:1 0:2 1:3
-36 0:0 0:1 0:2 1:3 | 0:0 0:1 0:3 1:2
36 0:0 0:1 0:2 1:3 | 0:0 0:2 0:3 1:1
-36 0:0 0:1 0:2 1:3 | 0:1 0:2 0:3 1:0
-36 0:0 0:1 0:3 1:2 | 0:0 0:1 0:2 1:3
36 0:0 0:1 0:3 1:2 | 0:0 0:1 0:3 1:2
-36 0:0 0:1 0:3 1:2 | 0:0 0:2 0:3 1:1
36 0:0 0:1 0:3 1:2 | 0:1 0:2 0:3 1:0
36 0:0 0:2 0:3 1:1 | 0:0 0:1 0:2 1:3
-36 0:0 0:2 0:3 1:1 | 0:0 0:1 0:3 1:2
36 0:0 0:2 0:3 1:1 | 0:0 0:2 0:3 1:1
-36 0:0 0:2 0:3 1:1 | 0:1 0:2 0:3 1:0
-36 0:1 0:2 0:3 1:0 | 0:0 0:1 0:2 1:3
36 0:1 0:2 0:3 1:0 | 0:0 0:1 0:3 1:2
-36 0:1 0:2 0:3 1:0 | 0:0 0:2 0:3 1:1
